Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Afghanistan;0.04;0.04;0.05;0.05;0.04;0.05;0.06;0.09;0.15;0.24;0.29;0.41;0.35;0.32;0.3;
Albania;0.98;1.05;1.23;1.41;1.38;1.41;1.3;1.32;1.48;1.5;1.58;1.8;1.69;1.75;1.98;
Algeria;2.82;2.67;2.81;2.83;2.7;3.22;2.99;3.19;3.16;3.42;3.3;3.29;3.46;3.51;3.72;
American Samoa;;;;;;;;;;;;;;;;
Andorra;8.02;7.79;7.59;7.32;7.36;7.3;6.75;6.52;6.43;6.12;6.12;5.87;5.92;5.9;5.83;
Angola;0.58;0.57;0.72;0.5;1;0.98;1.1;1.2;1.18;1.23;1.24;1.25;1.33;1.25;1.29;
Antigua;4.12;4.1;4.29;4.62;4.78;4.81;4.91;5.14;5.19;5.45;5.54;5.36;5.42;5.36;5.38;
Argentina;3.84;3.57;3.29;3.53;4.07;4.14;4.43;4.38;4.68;4.41;4.56;4.6;4.57;4.46;4.75;
Armenia;1.13;1.16;1;1.14;1.21;1.46;1.48;1.73;1.91;1.51;1.47;1.71;1.98;1.9;1.9;
Aruba;26.19;25.93;25.67;26.42;26.52;27.2;26.95;27.9;26.23;25.92;24.67;24.51;13.16;8.35;8.41;
Australia;17.2;16.73;17.37;16.9;17.03;17.17;17.65;17.87;18.16;18.2;17.74;17.54;17.07;16.08;15.37;
Austria;7.77;8.19;8.3;8.89;8.86;9.02;8.73;8.41;8.3;7.52;8.07;7.75;7.39;7.37;6.87;
Azerbaijan;3.67;3.55;3.62;3.72;3.86;4.09;4.62;3.56;4.05;3.57;3.39;3.65;3.82;3.79;3.93;
Bahamas;5.6;5.18;5.1;4.81;5.34;5.29;4.96;4.94;4.29;4.63;4.58;5.09;5.29;7.43;6.32;
Bahrain;28.05;19.97;21.35;21.15;21.1;21.6;19.65;25.92;26.71;23.81;23.59;22.41;20.51;23.8;23.45;
