Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Afghanistan;;;;;;;;;;;;;;;;
Albania;1449.65;1351.23;1578.17;1469.26;1797.53;1722.07;1218.36;1213.12;1617.74;1835.68;1943.34;2205.7;2118.33;2533.25;2309.37;
Algeria;680.2;705.93;727.61;783.03;800.7;886.91;858.93;890.81;943.76;863.09;1012.69;1118.51;1231.97;1272.3;1356.26;
American Samoa;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;
Angola;75.06;82.43;85.76;95.42;87.04;108.63;143.91;132.68;171.88;188.96;206.34;207.03;219.36;280.4;312.48;
Antigua;;;;;;;;;;;;;;;;
Argentina;2078.29;2109.5;2003.44;2167.72;2279.29;2392.89;2357.95;2438.09;2752.09;2708.94;2847.26;2901.27;2974.7;2943.87;3052.38;
Armenia;1297.57;1269.24;1236.36;1320.5;1440.37;1521.5;1639.68;1772.89;1669.06;1661.02;1726.26;1807.63;1893.53;1933.98;1965.78;
Aruba;;;;;;;;;;;;;;;;
Australia;10193.91;10636.38;10813.12;10434.87;10554.82;10458.45;10490.48;10972.89;10749.11;10791.59;10726.93;10627.29;10403.62;10213.04;10059.21;
Austria;7076.27;7333.23;7427.66;7695.08;7808.16;7977.68;8244.4;8207.47;8233.01;7944.8;8382.71;8425.17;8548.88;8509.61;8355.84;
Azerbaijan;2040.48;2106.47;1996.71;2235.46;2281.95;2388.39;2552.29;2118.21;2040.76;1620.39;1603.43;1705.42;2052.65;2092.54;2202.39;
Bahamas;;;;;;;;;;;;;;;;
Bahrain;20014.63;20130.49;20016.38;19774.99;18982.99;21325.55;21508.45;20592.9;18492;17460.33;18038.27;17910.94;17845.48;18687.7;19592.23;
Bangladesh;101.49;111.69;119.27;125.46;160.25;170.68;190.92;199.83;201.25;219.24;239.83;257.63;274.87;292.75;310.39;
Barbados;;;;;;;;;;;;;;;;
Belarus;2996.31;3009.4;3000.75;3063.06;3174.05;3245.37;3365.98;3393.91;3481.74;3298.7;3563.64;3628.46;3697.4;3648.32;3679.98;
Belgium;8247.68;8267.19;8311.89;8411.9;8576.22;8510;8683.67;8614.68;8521.5;7903.96;8393.95;8021.91;7973.22;7972.95;7709.12;
Belize;;;;;;;;;;;;;;;;
Benin;58.11;61.47;68.26;64.62;70.32;73.79;75.09;79.72;86.35;87.87;95.44;91.54;93.12;96.76;100.23;
Bermuda;;;;;;;;;;;;;;;;
Bhutan;;;;;;;;;;;;;;;;
Bolivia;419.81;420.77;434.4;441.98;452.18;482.17;513.07;545.36;534.49;553.66;604.34;637.41;663.35;705.46;752.69;
Bosnia and Herzegovina;2021.93;2059.78;2083;2223.46;2311.38;2379.46;2375.73;2375.46;2979.06;2883.44;3141.52;3318.64;3437.86;3414.15;3365.67;
Botswana;1098.74;1169.27;1220.82;1309.62;1428.39;1419.83;1455.76;1503.85;1518.23;1716.77;1539.56;1477.08;1714.44;2060.6;1748.62;
Brazil;1891.97;1742.49;1800.52;1875.32;1948.41;2007.28;2063.1;2157.44;2218.88;2185.75;2361.06;2416.46;2485.59;2551.41;2601.37;
Brunei;7544.09;7179.88;7371.7;8548.65;8594.72;8462.09;8432.14;8616.46;8593.23;8843.79;8809.71;8776.36;9223.31;9841.86;10242.8;
Bulgaria;3673.61;3859.09;3853.82;3997.9;3971.82;4165.18;4366.91;4523.32;4674.5;4483.75;4560.41;4863.69;4761.91;4639.71;4708.93;
Burkina Faso;;;;;;;;;;;;;;;;
Burundi;;;;;;;;;;;;;;;;
Cambodia;32.75;36.52;50.34;51.5;55.73;66.77;80.75;100.61;114.62;127.96;144.32;165.15;207.28;221.6;271.43;
Cameroon;178.01;167.88;157.66;170.04;195.77;189.77;250.12;258.38;272.02;269.81;266.34;261.15;252.15;257.11;280.67;
Canada;16990.58;16807.14;16959.6;17191.15;17235.41;16912.48;16508.68;16683.69;16378.14;15450.88;15269.57;15642.97;15320.59;15719.71;15545.54;
Cape Verde;;;;;;;;;;;;;;;;
Cayman Islands;;;;;;;;;;;;;;;;
Central African Republic;;;;;;;;;;;;;;;;
Chad;;;;;;;;;;;;;;;;
Chile;2512.33;2640.8;2738.48;2906.98;3072.35;3102.48;3229.27;3347.26;3347.57;3307.66;3320.42;3600.34;3827.44;3903.97;3911.65;
China;992.94;1076.55;1194.86;1379.48;1585.84;1782.31;2039.01;2325.93;2446.37;2612.46;2943.59;3298;3474.99;3773.41;3927.04;
Colombia;829.4;850.43;858.62;862.52;898.34;895.82;947.13;974.39;974.22;1049.98;1077.98;1121.39;1149.96;1287.2;1289.57;
Comoros;;;;;;;;;;;;;;;;
Costa Rica;1521.1;1499.7;1572.9;1658.76;1694.75;1736.41;1838.33;1900.69;1903.37;1858.4;1901.31;1898.72;1956.97;1954.57;1957.93;
Croatia;2855.85;2898.65;3092.34;3157.66;3325.52;3475.91;3635.81;3737.6;3878;3711.61;3813.68;3900.6;3819.28;3754.27;3714.38;
Cuba;1135.44;1155.58;1183.19;1191.74;1173.61;1152.76;1223.42;1296.39;1314.88;1323.93;1290.83;1318.67;1364.07;1419.27;1434.03;
Curacao;7291.2;7222.17;7283;7521.02;7571.24;7613.07;7243.04;7323.54;7149.71;7423.4;7471.27;7379.12;5062.86;4934.27;4797.67;
Cyprus;3373.31;3455.24;3703.3;3918.22;3946.91;4099.61;4238.13;4377.12;4554.52;4577.1;4585.63;4239.73;4035.02;3587.74;3624.9;
Czech Republic;5703.82;5892.17;5894.23;6074.85;6230.4;6357.42;6528.53;6518.22;6489.13;6139.35;6348.42;6298.73;6304.57;6284.79;6258.89;
Democratic Republic of the Congo;96.63;95.61;89.79;90.27;88.24;89.51;101.83;105.31;101.27;106.86;104.72;108.09;112.25;117.1;108.58;
Denmark;6482.49;6490.09;6533.75;6602.64;6615.57;6659;6824.75;6668.39;6534.12;6219.7;6327.51;6165.97;6038.55;6039.43;5858.8;
Djibouti;;;;;;;;;;;;;;;;
Dominica;;;;;;;;;;;;;;;;
Dominican Republic;1313.62;1273.64;1373.48;1347.38;1112.6;1215.9;1308.56;1335.39;1352.36;1299.79;1366.24;1397.61;1466.28;1516.54;1578.15;
