Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Afghanistan;54.24;54.06;43.77;42.28;49.84;40.86;37.14;33.86;21.34;17.81;14.84;11.48;13.97;16.33;19.31;18.42
Albania;41.45;39.13;35.9;33.75;35.94;36.87;31.71;32.1;35.91;37.22;37.12;35.96;40.05;41.29;38.69;38.62
Algeria;0.43;0.43;0.51;0.47;0.44;0.58;0.41;0.41;0.3;0.31;0.26;0.18;0.19;0.14;0.07;0.06
American Samoa;;;;;;;;;;;;;0.7;0.7;0.7;0.89
Andorra;14.89;15.77;16.22;16.91;16.87;16.9;17.49;16.94;17.42;17.52;19.09;18.97;19.2;19.56;19.89;19.75
Angola;74.62;73.76;72.13;67.31;65.49;70.95;65.02;61.6;58.11;55.75;54.19;52.72;52.25;50.69;50.8;49.57
Antigua;;;;;;;;;;;;;;;;
Argentina;11.08;13.04;13.29;12.52;8.35;8.96;10.19;8.89;7.61;8.57;8.96;10.12;9.87;10.21;10.9;10.04
Armenia;7.16;5.42;8.9;9.81;8.71;6.49;7.65;7.02;6.41;7.8;9.36;8.01;6.57;6.77;7.72;15.79
Aruba;0.18;0.18;0.18;0.18;0.19;0.19;0.19;0.19;0.19;0.3;5.46;5.66;6.86;6.89;6.93;6.73
Australia;8.42;8.37;8.74;7.15;6.68;6.71;6.85;6.95;6.79;7.11;8.11;8.26;8.25;9.09;9.28;9.18
Austria;26.39;25.48;24.68;22.58;23.22;24.17;26.25;28.6;29.36;30.51;30.66;30.99;33.43;34.68;35.39;34.39
Azerbaijan;2.07;1.75;2.35;2.94;3.07;3.37;2.86;3.79;3.09;3.27;4.45;3.56;2.85;2.53;2.12;2.31
Bahamas;;0.45;0.42;1.69;1.7;1.84;2.17;3.71;2.15;1.92;1.66;1.43;1.18;0.84;1.09;1.21
Bahrain;;;;;;;;;;;;;;;;
Bangladesh;59.01;55.79;54.32;52.64;52.12;50.78;48.9;47.48;45.58;43.69;41.05;39.44;38.61;38.76;37.63;34.75
Barbados;13.62;12.29;11.07;9.95;9.93;9.91;9.9;9.71;8.63;9.38;9.03;4.58;4.13;3.4;3.16;2.79
Belarus;4.98;5.53;5.76;5.6;5.66;6.15;6.49;6.62;6.49;6.78;7.02;7.38;7.25;7.01;6.63;6.77
Belgium;1.45;1.58;1.69;1.89;2.02;2.47;2.83;3.33;3.91;4.83;5.84;6.63;7.76;8.13;9.07;9.2
Belize;34.55;29.61;31.19;30.17;32.02;31.01;36.8;32.31;34.06;26.62;33.71;31.02;37.11;34.66;36.91;35.02
Benin;70.29;66.85;64.04;61.73;60.69;59.19;57.3;54.49;54.76;52.83;48.12;49.45;51.15;52.71;52.54;50.86
Bermuda;;;;;;;;2.36;2.28;2.61;2.39;2.32;2.14;1.93;1.99;2.36
Bhutan;91.4;91.75;91.2;91.92;93.45;91.66;91.92;92.19;92;92.61;90.89;89.61;88.04;87.04;87.03;86.9
Bolivia;27.39;28.31;27.74;26.08;24.51;23.48;22.55;21.53;20.51;19.99;20.07;19.29;17.92;18.64;16.82;17.54
Bosnia and Herzegovina;19.35;20.27;21.21;20.14;20.1;19.74;18.12;14.84;14.28;17.43;19.57;14.16;15.28;19.48;41.75;40.75
Botswana;36.56;35.67;34.25;34.23;32.12;30.76;29.37;27.67;27.16;28.28;30.19;30;29.75;29.22;28.8;28.88
Brazil;42.8;41.48;43.02;45.31;45.39;46.35;46.91;47.42;47.26;49.11;47.01;45.47;43.62;42.45;41.84;43.79
Brunei;;;;;;;;;;;;0.02;0.01;0.01;0.01;0.01
Bulgaria;7.98;7.28;8.73;9.16;9.6;9.89;10;8.87;9.95;11.66;14.37;13.28;15.75;18.16;16.97;17.65
Burkina Faso;85.41;83.68;79.34;79.08;83.53;86.54;84.62;82.43;82.94;83.6;81.45;80.57;77.18;75.43;75.24;74.17
Burundi;93.23;96.23;96.16;97.02;97.27;97.29;96.86;96.89;96.85;96.92;96.76;96.59;93.96;94.07;94.6;95.68
Cambodia;81.14;79.59;83.02;82.07;78.21;76.07;73.86;69.37;68;71.32;68.52;68.16;68.26;68.97;68.01;64.92
Cameroon;84.48;85.2;85.21;85.25;85.46;86.23;85.43;80.71;80.71;79.09;78.6;78.37;78.05;77.61;76.98;76.54
Canada;21.51;21.01;21.77;21.18;21.58;22.25;22.09;22.13;22.53;22.7;22.08;21.97;22.61;22.38;22.02;22.03
Cape Verde;28.98;28.18;27.86;35.25;33.96;26.61;25.07;24.96;27.61;26.16;21.74;21.62;24.4;26.13;26.2;26.58
Cayman Islands;;;;;;;;;;;;;;;;
Central African Republic;85.07;84.86;84.86;85.53;85.65;85.65;84.8;80.86;80.58;80.58;79.81;78.77;78.03;77.08;76.9;76.57
Chad;97.16;97.26;97.26;91.97;92.12;91.73;91.81;90.71;90.07;91.05;90.79;90.6;90.65;89.46;89.24;89.36
Chile;31.36;32.15;33.07;31.61;31.43;32.26;32.91;30.46;30.83;31.53;27.04;28.79;30.3;30.18;26.72;24.88
China;29.73;28.46;27.1;23.95;20.25;18.2;17.09;15.35;14.6;13.91;12.88;11.7;11.97;11.84;12.22;12.41
Colombia;28.03;27.23;28.79;30.69;29.16;28.73;28.98;29.66;28.96;29.55;27.93;26.78;26.64;24.47;24.44;23.56
Comoros;48.25;47.95;48.45;42.87;41.84;44.28;43.37;50.11;50.95;49.82;46.41;47.79;48.01;44.08;46.62;45.33
Costa Rica;32.95;32.11;32.65;33.66;39.5;42.06;42.26;42.84;43.13;42.27;42.31;40.5;38.62;38.07;37.84;38.73
Croatia;26.79;26.95;24.63;24.84;26.59;26.84;25.52;22.67;24.16;27.18;29.78;27.19;29.42;32.84;33.65;33.13
Cuba;34.43;34.05;34.81;33.57;33.78;26.32;21.97;18.59;18.73;16.12;13.16;16.68;17.1;16.89;18.8;19.28
Curacao;0.07;0.28;0.27;0.27;0.27;0.26;0.25;0.25;0.24;0.25;0.24;0.24;0.36;0.36;0.35;0.35
Cyprus;3.1;3.05;3.18;3.26;3.3;3.36;3.51;4.36;5.49;5.98;6.35;7.42;8.34;9.5;9.36;9.94
Czech Republic;5.94;6.29;7.28;6.72;7.11;7.51;7.86;8.29;8.96;10.21;10.92;12.12;12.76;13.92;14.83;14.83
Democratic Republic of the Congo;97.94;98.34;98.27;97.97;97.88;97.42;97.33;97.17;96.97;97.02;96.83;96.25;95.53;94.01;92.87;95.82
Denmark;10.74;11.12;11.87;12.72;14.45;16.13;15.27;17.7;18.55;19.34;21.35;23.9;27.28;27.34;30.27;33.17
Djibouti;31.44;31.68;32.44;32.88;33.62;33.09;33.01;32.52;33.14;33.31;34.43;34.44;34.07;34.01;34.15;15.38
Dominica;11.03;9.39;13.58;10.54;9.99;9.6;8.64;7.75;7.46;8.16;8.91;11.48;9.73;9.88;8.61;7.83
Dominican Republic;18.42;18.48;15.91;18.67;20.54;19.33;18.43;18.22;17.94;17.55;16.98;17.24;17.05;17.51;18.02;16.48
Ecuador;20.03;18.43;18.06;17.97;15.97;12.16;12.97;12.81;15.09;13.3;12.11;13.35;13.1;12.68;12.22;13.82
Egypt;8.1;7.71;7.26;7.39;7.54;6.49;6.23;6.09;5.97;5.76;5.72;5.58;5.55;5.71;5.87;5.71
El Salvador;50.86;50.19;50.74;47.98;47.39;47.19;47.65;33.27;36.93;29.3;30.77;30.31;27.26;28.16;28.27;24.4
Equatorial Guinea;52.58;24.1;15.39;14.83;12.32;7.86;6.63;5.68;6.31;6.1;5.95;5.64;5.35;5.96;7.64;7.82
Eritrea;76.78;74.85;74.83;75.04;70.1;74.86;78.56;80.02;81.9;81.81;81.25;80.75;80.23;80.23;79.93;79.77
Estonia;19.84;18.94;19.42;19.83;19.99;18.86;17.16;18.57;20.19;24.09;25.13;24.98;24.91;24.48;25.33;27.48
Ethiopia;95.95;95.08;95.02;94.75;94.66;95.13;94.94;94.57;94.52;94.6;94.52;94.01;93.75;93;92.07;92.16
Faroe Islands;2.77;2.56;3.4;3.11;3.42;3.84;4.3;4.54;4.51;5.12;3.38;5;4.7;4.32;6.54;7.51
Fiji;52.88;45.16;51.3;45.82;38.95;43.6;41.41;38.04;45.55;34.99;29.61;33.93;32.79;36.42;34.57;31.26
Finland;31.67;29.24;29.51;28.34;31.09;31.51;31.24;31.79;34.73;32.6;33.58;35.26;38.8;38.48;41.24;43.24
France;9.26;9.4;8.67;8.85;8.89;8.6;8.46;9.32;10.47;11.22;11.85;10.91;12.37;13.48;13.35;13.5
French Polynesia;9.94;6.88;6.23;7.23;7.85;8.15;10.22;9.87;9.34;9.37;11.57;9.79;9.34;8.83;10.16;9.83
Gabon;72.78;72.42;79.81;83.63;85.77;85.24;86.15;87.35;87.38;88.1;85.88;79.77;75.51;82.23;81.35;82.01
Gambia;63.13;59.64;60.68;60.47;59.85;60.04;59.27;56.73;55.75;53.4;54.71;54.16;54.22;56.64;51.93;51.51
Georgia;47.25;53.15;56.76;55.33;54.53;41.48;37.22;36.22;36.3;36.72;39.15;31.54;28.69;34.98;31.89;28.66
Germany;3.7;3.9;4.41;5.06;5.83;6.76;7.75;9.41;8.59;9.63;10.29;11.39;12.02;12.09;13.38;14.21
Ghana;71.62;69.31;65.68;64.47;62.37;61.43;58.56;54.53;55.86;49.91;49.78;48.01;44.48;44.04;45.05;41.41
Greece;7.52;6.81;7.02;7.28;7.54;7.72;8.21;7.92;8.11;8.92;11.09;11.09;13.86;16.29;16.09;17.17
Greenland;12.2;11.7;12.91;13.64;6.34;6.64;6.9;6.68;6.67;8.59;9.83;12.22;12.17;13.3;14.9;15.53
Grenada;10.47;10.4;10.44;10.41;10.54;10.54;10.34;9.88;10.66;10.44;10.5;11.24;11.34;10.89;11.08;10.92
Guam;;;;;;;;;;;;;;;;
Guatemala;62.74;61.39;60.54;59.01;57.55;57.33;57.9;57.03;60.78;58.3;66.59;66.42;66.22;64.98;59.9;63.65
Guinea;85.62;84.93;84.38;83.46;83.19;81.56;81.06;80.36;80.15;79.25;75.71;74.75;76.37;78.53;78.52;76.27
