Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Afghanistan;13530.95;12585.4;13842.74;14709.88;14654.37;14770.26;14849.16;15272.63;15288.78;15554.43;17791.33;17981.31;18168.86;;;
Albania;8389.28;6820.62;7503.06;7834.02;7401.1;8308.39;8027.15;9879.39;8136.79;8108.81;8507;8712.3;8898.64;;;
Algeria;133778.2;129334.83;131222.65;139592.33;139846.68;146241.5;151655.37;157333.43;160415.28;160849.93;167674.63;172303.51;176471.23;;;
American Samoa;47.66;50.88;51.35;51.84;52.32;52.8;53.3;53.91;54.62;54.99;56.64;57.74;58.77;;;
Andorra;;;;;;;;;;;;;;;;
Angola;34780.68;34371.84;34490.37;35858.02;36860.23;35855.74;36375.82;36690.53;37396.29;38309.47;40029.39;40878.65;41657.16;;;
Antigua;398.69;399.27;406.43;418.84;449;454.07;463.57;478.08;491.9;;;537.81;552.75;;;
Argentina;331450.87;326483.81;311051.93;344797.06;369944.11;358385.64;373600.56;384547.75;411503.63;373409.07;364684.25;372873.14;380295.32;;;
Armenia;6867.71;6896.45;6460.24;6973.88;7633.47;8401.82;8743.51;9323.72;12469.98;11235.09;11393.04;12417.74;12319.39;;;
Aruba;;;;;;;;;;;;;;;;
Australia;1081244.41;1241515.99;1117450.02;1023667.58;1144343.87;909262.03;1119632.1;1065623.87;892629.27;1105167.24;782102.69;785795.15;761686.27;;;
Austria;82686.75;85851.61;87386.69;92659.84;96330.91;97552.85;95636.73;93276.76;94608.82;89046.76;94172.35;92315.05;90460.21;;;
Azerbaijan;42646.56;41456.11;40298.55;44116.81;45005.73;47617.17;48492.28;45144.11;53832.82;49623.18;50724.57;53982.83;56537.08;;;
Bahamas;3185.22;3151.87;3255;3556.08;3731.97;3854.11;4014.02;4128.89;4339.66;4335.93;4570.36;4726.38;4865.21;;;
Bahrain;;19051.28;19967.01;20539.29;21451.12;23432.38;25118.22;;;29249.58;30921.97;31941.04;32849.11;;;
Bangladesh;136012.9;142753.53;143812.57;146424.25;147368.17;151091.7;155320.5;161041.76;164700.5;169927.91;177504.47;180498.43;183300.56;;;
Barbados;1313.95;1225.12;1263.74;;;;;;;;;;1540.62;;;
Belarus;83387.55;80803.9;89727.11;82041.12;85627.16;89989.72;94475.09;95710.82;100860.18;101754.79;108204.55;108921.43;109647.24;;;
Belgium;147051.2;144535;138048.51;144031.57;141187.99;136696.04;134802.75;131823.17;137213.87;131110.29;138029.41;137517.87;133373.68;;;
Belize;1676.47;1013.48;1702.59;3604.31;1146.09;2022.18;1276.56;1802.16;1408.15;1534.36;1498.88;1536.24;1569.86;;;
Benin;40254.01;33015.41;47757.34;36885.54;31729.03;48572.51;36385.67;39886.08;37639.93;38068.37;33029.82;33289.55;33533.1;;;
Bermuda;518.97;510.11;527.1;543.01;591.97;584.76;600.52;;;561.26;594.65;614.88;632.88;;;
Bhutan;2309.76;1613.47;1707.6;1467.57;1623.24;1617.86;1966.35;2326.55;1908.29;2190.92;3220.4;3259.61;3296.96;;;
Bolivia;91400.93;62224.11;110701.19;124597.5;252571.29;309458.39;164214.82;227561.9;120003.25;76425.97;102900.52;620981.96;621726.73;;;
Bosnia and Herzegovina;22492.91;18080.88;17112.3;18645.79;20000.84;20780.36;22772.23;24673.09;24236.61;24471.9;25619.33;26405.84;27108.4;;;
Botswana;39682.5;54348.93;51450.3;17482.99;23886.71;24188.46;43484.66;26082.88;73051.13;22941.97;81652.26;81891.04;82110.28;;;
Brazil;1222630.43;1277451.88;1591827.05;1624554.7;1967427.39;2386439.68;1621079.23;2703498.56;1532859.83;1211969.41;2902242.62;2953040.52;2989417.96;;;
Brunei;9649.4;9865.14;9840.81;10762.04;10320.1;10968.96;13195.22;12998.23;13738.06;13549.8;14123.6;14494.49;14828.97;;;
Bulgaria;66195.09;68733.68;63711.02;70024.03;68865.66;68542.77;69900.82;72526.72;71720.34;65132.86;67945.31;72946.62;67942.7;;;
Burkina Faso;46470.1;41227.96;50062.48;43713.29;43284.41;47809.7;41364.17;43631.84;40706.3;43473.1;43405.91;43660.15;43910.4;;;
Burundi;3398.87;3390.84;5029.51;5258.75;5370.44;5302.31;5553.35;5477.68;5724.96;5925.88;6040.98;6152;6254.37;;;
Cambodia;42118.31;63995.78;108594.63;105986.66;178379.1;101252.49;102119.77;197112.04;120478.86;87674.95;126272.2;126838.76;127399.59;;;
Cameroon;163101.04;118945.3;128242.37;167009.84;97585.68;160728;123887.44;120331.65;120917.19;116739.19;99823.28;100386.55;100922.14;;;
Canada;760643;718534.46;908686.15;951373.04;1040136.77;849798.74;894922.55;892066.85;908926;749863.65;764137.68;1033481.98;1027063.85;;;
Cape Verde;333.36;301.76;309.04;317.11;335.59;362.76;;;369.12;376.4;;;;;;
Cayman Islands;;;;;;;;;;;;;;;;
Central African Republic;499622.06;453849.63;350970.59;532900.06;345419.44;455529.68;595439.93;695449.72;603473.1;428273.61;511442.69;513289.52;515134.08;;;
