Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Afghanistan;;;;;;;;;;;;;;;;
Albania;3.85;4.69;6.05;2.14;2.5;1.29;1.68;2.52;;0.02;0.01;1.41;;;;
Algeria;99.79;99.74;99.79;99.1;99.2;98.36;99.38;99.39;99.3;99.21;99.62;99.02;98.92;99.45;99.6;99.68
American Samoa;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;
Angola;36.89;37.91;35.24;37.79;21.59;20.35;19.39;22.38;24.59;34.66;32.04;29.09;39.2;41.98;46.82;46.83
Antigua;;;;;;;;;;;;;;;;
Argentina;59.89;50.34;49.54;53.83;60.51;59.96;55.68;63.44;67.63;64.38;65.69;62.78;66.02;64.05;64.26;66.94
Armenia;45.18;48.56;28.61;27.65;30.36;28.94;24.84;25.25;26.17;20.35;22.15;32.17;42.3;41.15;42.44;35.91
Aruba;;;;;;;;;;;;;;;;
Australia;91.62;91.9;92.14;91.56;91.81;91.2;90.7;91.35;91.88;92.5;91.39;89.57;89.41;86.74;85.09;86.36
Austria;27.21;30.45;30.59;38.79;35.32;35.91;33.81;30.61;30.03;27.92;32.87;33.38;24.3;20.84;17.72;22.22
Azerbaijan;91.8;93.14;89.2;88.4;87.33;86.84;89.74;89.18;89.69;87.76;81.58;86.81;92.08;93.04;94.02;92.59
Bahamas;;;;;;;;;;;;;;;;
Bahrain;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Bangladesh;95.25;94.29;95.99;96.2;96.97;97.17;97.46;97.58;97.22;98.88;98.21;98.03;98.4;98.05;98.68;98.77
Barbados;;;;;;;;;;;;;;;;
Belarus;99.9;99.88;99.88;99.88;99.88;99.87;99.87;99.82;99.76;99.59;99.52;99.48;99.28;98.98;99.1;98.93
Belgium;39.63;38.42;38.92;40.96;41.06;40.93;39.85;39.45;38.63;39.8;40.26;35.02;35.95;31.94;33.48;39.21
Belize;;;;;;;;;;;;;;;;
Benin;97.62;96.97;96.83;97.5;98.77;99.07;97.4;98.64;98.69;99.22;99.13;100;100;100;100;94.44
Bermuda;;;;;;;;;;;;;;;;
Bhutan;;;;;;;;;;;;;;;;
Bolivia;48.48;45.15;46.06;52.89;51.29;58.74;58.13;58.3;58.62;60.51;66.05;65.8;67.69;67.82;71.99;68.6
Bosnia and Herzegovina;51.16;51.3;51.15;60.05;53.02;52.4;55.99;66.05;67.17;60.18;53.13;71.29;70.07;58.54;63.27;64.48
Botswana;100;100;100;100;100;100;100;100;100;100;100;100;100;99.89;99.96;99.97
Brazil;8.67;11.23;10.14;9.05;10.83;10.23;9.81;8.74;12.61;8.1;12.39;9.83;14.6;20.55;24.25;23.43
Brunei;100;100;100;100;100;100;100;100;100;100;100;99.95;99.95;99.95;99.96;99.95
Bulgaria;48.66;51.1;46.82;52.01;51.71;47.67;47.79;59.08;58;55.19;54.25;59.47;54.64;50.98;50.41;50.4
Burkina Faso;;;;;;;;;;;;;;;;
Burundi;;;;;;;;;;;;;;;;
Cambodia;99.78;99.8;95.88;93.58;94.85;93.88;94.23;95.44;95.61;94.63;94.5;92.92;62.34;42.07;38.86;53.58
Cameroon;1.09;1.89;3.58;4.23;4.62;5.79;11.18;25.18;24.15;29.33;26.78;24.71;24.63;24.66;24.67;23.88
Canada;26.77;28.95;27.54;28.37;26.48;25.13;24.41;24.82;23.32;22.04;23.08;22.54;21.42;20.77;20.76;21.07
Cape Verde;;;;;;;;;;;;;;;;
Cayman Islands;;;;;;;;;;;;;;;;
