Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Afghanistan;;;;;;;;;;;;;;;;
Albania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Algeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
American Samoa;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;
Angola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Antigua;;;;;;;;;;;;;;;;
Argentina;6.95;7.83;6.89;8.22;7.86;6.52;7.2;6.72;6.03;6.69;5.72;4.92;4.72;4.46;4.17;
Armenia;33.65;34.59;41.35;36.32;36.5;43;44.44;43.29;42.65;43.98;38.36;34.29;28.76;30.61;31.81;
Aruba;;;;;;;;;;;;;;;;
Australia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azerbaijan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Bahamas;;;;;;;;;;;;;;;;
Bahrain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Bangladesh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Barbados;;;;;;;;;;;;;;;;
Belarus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Belgium;58.18;58.95;58.51;56.7;56.09;55.53;55.3;55.1;54.52;52.58;51.1;54.19;49.37;51.9;47.14;37.53
Belize;;;;;;;;;;;;;;;;
Benin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Bermuda;;;;;;;;;;;;;;;;
Bhutan;;;;;;;;;;;;;;;;
Bolivia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Bosnia and Herzegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Botswana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Brazil;1.73;4.35;4;3.67;3;2.45;3.28;2.77;3.02;2.78;2.82;2.94;2.9;2.71;2.6;
Brunei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Bulgaria;44.72;44.91;47.95;40.82;40.59;42.42;42.84;34.1;35.36;36;33.14;32.61;33.89;32.9;33.81;
Burkina Faso;;;;;;;;;;;;;;;;
Burundi;;;;;;;;;;;;;;;;
Cambodia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cameroon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Canada;12.02;13;12.56;12.7;15.07;14.83;16.03;14.87;15.2;14.78;15.01;14.71;14.9;15.55;16.12;15.55
Cape Verde;;;;;;;;;;;;;;;;
Cayman Islands;;;;;;;;;;;;;;;;
Central African Republic;;;;;;;;;;;;;;;;
Chad;;;;;;;;;;;;;;;;
Chile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China;1.23;1.18;1.52;2.27;2.29;2.12;1.91;1.89;1.97;1.89;1.76;1.84;1.95;2.05;2.34;
Colombia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Comoros;;;;;;;;;;;;;;;;
Costa Rica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Croatia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cuba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Curacao;;;;;;;;;;;;;;;;
Cyprus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Czech Republic;18.64;19.87;24.66;31.24;31.42;30.18;31.14;29.82;31.88;33.33;32.82;32.59;34.98;35.75;35.64;32.49
Democratic Republic of the Congo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Denmark;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Djibouti;;;;;;;;;;;;;;;;
Dominica;;;;;;;;;;;;;;;;
Dominican Republic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ecuador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Egypt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
El Salvador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Equatorial Guinea;;;;;;;;;;;;;;;;
Eritrea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Estonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ethiopia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Faroe Islands;;;;;;;;;;;;;;;;
Fiji;;;;;;;;;;;;;;;;
Finland;32.12;30.57;29.74;26.96;26.46;32.97;27.83;28.83;29.65;32.64;28.26;31.55;32.65;33.13;34.63;33.9
France;77.57;77.22;78.89;78.55;78.82;79.05;79.06;78;77.26;77.21;75.94;79.51;75.96;74.7;78.24;77.63
French Polynesia;;;;;;;;;;;;;;;;
Gabon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Gambia;;;;;;;;;;;;;;;;
Georgia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Germany;29.64;29.44;28.33;27.35;27.34;26.48;26.44;22.18;23.41;22.87;22.43;17.78;15.95;15.37;15.62;14.32
Ghana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Greece;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greenland;;;;;;;;;;;;;;;;
Grenada;;;;;;;;;;;;;;;;
Guam;;;;;;;;;;;;;;;;
Guatemala;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Guinea;;;;;;;;;;;;;;;;
Guinea-Bissau;;;;;;;;;;;;;;;;
Guyana;;;;;;;;;;;;;;;;
Haiti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Honduras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Hungary;40.29;38.79;38.59;32.25;35.35;38.69;37.54;36.73;37.02;42.96;42.17;43.55;45.6;50.74;53.24;52.19
Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
India;2.97;3.31;3.18;2.73;2.49;2.42;2.43;2.06;1.76;2.03;2.68;3;2.93;2.87;2.79;
Indonesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Iran;0;0;0;0;0;0;0;0;0;0;0;0.14;0.73;1.73;1.63;
Iraq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ireland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Isle of Man;;;;;;;;;;;;;;;;
Israel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Italy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ivory Coast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Jamaica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Japan;29.6;29.85;27.03;22.2;25.45;26.98;26.84;22.87;23.44;26.18;25.28;9.47;1.51;0.88;0;0.91
Jordan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Kazakhstan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Kenya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Kiribati;;;;;;;;;;;;;;;;
Kosovo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Kuwait;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Kyrgyzstan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Laos;;;;;;;;;;;;;;;;
Latvia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Lebanon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Lesotho;;;;;;;;;;;;;;;;
Liberia;;;;;;;;;;;;;;;;
Libya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Liechtenstein;;;;;;;;;;;;;;;;
Lithuania;75.7;79.11;81.77;82.24;80.54;71.71;71.63;73;74.24;74.11;0;0;0;0;0;
Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Macedonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Madagascar;;;;;;;;;;;;;;;;
Malawi;;;;;;;;;;;;;;;;
Malaysia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Maldives;;;;;;;;;;;;;;;;
Mali;;;;;;;;;;;;;;;;
Malta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Marshall Islands;;;;;;;;;;;;;;;;
Mauritania;;;;;;;;;;;;;;;;
Mauritius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Mexico;4;4.08;4.47;4.45;3.87;4.31;4.21;3.93;3.64;3.92;2.13;3.33;2.85;3.97;3.21;3.72
Micronesia;;;;;;;;;;;;;;;;
Moldova;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Monaco;;;;;;;;;;;;;;;;
Mongolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Montenegro;;;;;;0;0;0;0;0;0;0;0;0;0;
Morocco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Mozambique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Myanmar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Namibia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nauru;;;;;;;;;;;;;;;;
Nepal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Netherlands;4.38;4.25;4.08;4.15;3.78;4;3.51;3.99;3.88;3.74;3.33;3.63;3.79;2.84;3.96;3.51
New Caledonia;;;;;;;;;;;;;;;;
New Zealand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nicaragua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Niger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nigeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
North Korea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Northern Mariana Islands;;;;;;;;;;;;;;;;
Norway;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Pakistan;2.93;3.16;2.3;2.18;3.26;2.65;2.33;3.22;1.77;3.03;3.62;5.54;4.74;4.89;4.76;
Palau;;;;;;;;;;;;;;;;
Panama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Papua New Guinea;;;;;;;;;;;;;;;;
