Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Afghanistan;;;;;;;;;;;;;;;;
Albania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.11
American Samoa;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;
Angola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua;;;;;;;;;;;;;;;;
Argentina;0.8;0.75;1.11;1.21;1.24;1.29;1.62;1.57;1.33;1.15;1.77;1.66;2.03;2.12;1.97;1.9
Armenia;0;0;0;0;0;0;0;0.05;0.03;0.07;0.11;0.04;0.05;0.05;0.05;0.05
Aruba;;;;;;;;;;;;;;;;
Australia;0.59;0.71;0.88;1.06;1.13;2.1;2.46;2.75;3.22;2.74;3.27;3.83;5.01;5.98;7.5;8.34
Austria;2.67;2.91;2.75;3.61;4.86;6.1;8.27;9.89;9.83;9.47;9.74;10.64;10.78;12.89;14.5;16.49
Azerbaijan;0;0;0;0;0;0;0;0;0;0.01;0.01;0;0;0.3;0.37;0.41
Bahamas;;;;;;;;;;;;;;;;
Bahrain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bangladesh;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26;0.27;0.27
Barbados;;;;;;;;;;;;;;;;
Belarus;0;0;0;0;0;0;0.01;0.05;0.1;0.2;0.24;0.3;0.33;0.41;0.37;0.5
Belgium;0.71;0.81;0.96;1.13;1.4;2.12;3.07;3.54;4.8;5.69;6.59;9.19;12.38;13.75;16.67;20.34
Belize;;;;;;;;;;;;;;;;
Benin;0;0;0;0;0;0;2.6;1.36;1.31;0.78;0.87;0;0;0;0;1.46
Bermuda;;;;;;;;;;;;;;;;
Bhutan;;;;;;;;;;;;;;;;
