Groupes;2000;2002;2003;2004;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Categorie
Mammiferes;180;181;184;162;162;163;188;188;188;194;196;196;213;209;204;202;201;En_voie_de_disparition_critique
Oiseaux;182;182;182;179;181;189;190;192;190;189;197;198;213;218;225;222;224;En_voie_de_disparition_critique
Reptiles;56;55;57;64;73;79;86;93;106;137;144;164;174;180;237;266;287;En_voie_de_disparition_critique
Amphibiens;25;30;30;413;442;441;475;484;486;498;509;520;518;528;546;552;550;En_voie_de_disparition_critique
Poissons;156;157;162;171;253;254;289;306;376;414;415;413;443;446;461;468;486;En_voie_de_disparition_critique
Insectes;45;46;46;47;68;69;70;89;89;91;119;125;168;176;226;273;300;En_voie_de_disparition_critique
Mollusques;222;222;250;265;265;268;268;291;373;487;549;553;576;576;586;625;633;En_voie_de_disparition_critique
Autres_invertebres;59;59;61;61;84;86;99;99;132;132;132;154;205;209;211;243;252;En_voie_de_disparition_critique
Plantes;1014;1046;1276;1490;1541;1569;1575;1577;1619;1731;1821;1957;2119;2347;2506;2722;2879;En_voie_de_disparition_critique
Champignons et protistes;0;0;1;1;2;2;2;2;2;2;2;2;2;5;8;10;14;En_voie_de_disparition_critique
Mammiferes;340;339;337;352;348;349;448;449;450;447;446;447;477;481;464;476;482;En_voie_de_disparition
Oiseaux;321;326;331;345;351;356;361;362;372;382;389;397;419;416;448;461;469;En_voie_de_disparition
Reptiles;74;79;78;79;101;139;134;150;200;284;296;329;356;361;421;484;515;En_voie_de_disparition
Amphibiens;38;37;37;729;738;737;755;754;758;764;767;783;789;810;852;869;903;En_voie_de_disparition
Poissons;144;143;144;160;237;254;269;298;400;477;494;530;587;614;660;676;674;En_voie_de_disparition
Insectes;118;118;118;120;129;129;132;151;166;169;207;247;270;305;408;461;537;En_voie_de_disparition
Mollusques;237;236;243;221;222;224;224;245;328;417;480;486;501;503;513;547;546;En_voie_de_disparition
Autres_invertebres;76;77;76;82;96;96;165;164;183;183;183;224;307;311;312;340;348;En_voie_de_disparition
Plantes;1266;1291;1634;2239;2258;2278;2280;2316;2397;2564;2655;3009;3231;3510;3691;4123;4537;En_voie_de_disparition
Champignons et protistes;0;0;1;1;1;1;1;1;1;1;1;1;1;11;12;18;21;En_voie_de_disparition
Mammiferes;610;617;609;587;583;582;505;505;493;497;497;500;509;507;526;526;536;Vulnérable
Oiseaux;680;684;681;688;674;672;671;669;678;682;727;713;741;741;787;786;799;Vulnérable
Reptiles;161;159;158;161;167;204;203;226;288;351;367;386;397;403;421;465;505;Vulnérable
Amphibiens;83;90;90;628;631;630;675;657;654;655;657;647;650;656;670;679;639;Vulnérable
Poissons;452;442;444;470;681;693;717;810;1075;1137;1149;1167;1192;1211;1238;1242;1172;Vulnérable
Insectes;392;393;389;392;426;425;424;471;478;481;503;524;555;565;634;680;700;Vulnérable
Mollusques;479;481;474;488;488;486;486;500;587;769;828;859;873;871;885;1015;1016;Vulnérable
Autres_invertebres;300;300;302;316;323;325;628;629;568;568;569;650;685;685;695;709;708;Vulnérable
Plantes;3331;3377;3864;4592;4591;4600;4602;4607;4708;4861;4914;5099;5234;5376;5446;5660;5883;Vulnérable
Champignons et protistes;0;0;0;0;0;0;0;0;0;0;0;0;0;13;14;21;24;Vulnérable
